id	Year	Postcode	Individuals	Taxable_income	Net_tax	Gross_interest	Net_rent	Net_capital_gain	Total_income	Total_deductions	Salary	Medicare_levy	Medicare_levy_surcharge	Total_work_related_expenses	Gifts	HELP_debt
200600800	2006	800	1660	80189786	19291288	982029	-948556	2189379	84768019	4545219	66405766	959934	75734	2822606	170298	260038
200600810	2006	810	13355	625078283	140888692	5565972	-6677386	10236677	652244699	27017769	541684823	8715326	610893	18054427	1138952	1642494
200600812	2006	812	9310	430513198	95521802	2948602	-5188619	5747701	447131373	16575272	387968768	6018646	354976	11840366	653358	823035
200600820	2006	820	9115	501290855	128219514	5263994	-5609933	14737411	527167085	25752080	422907036	6182615	406521	16620684	811836	1251021
200600828	2006	828	440	23944386	6292688	260607	-62955	2316623	24894721	943140	17225625	337452	24403	538453	23955	27004
200600830	2006	830	8145	369188892	79956469	1260399	-3921718	3663834	384876509	15599694	347923168	4531598	331666	12660694	507664	640860
200600832	2006	832	2970	139562478	30890833	382558	-1554586	1117560	145361131	5794158	134556229	1724264	140950	4851519	162244	245458
200600835	2006	835	2585	129478026	30639655	921464	-1127239	4059528	135344484	5660982	107754261	1848550	140880	3527186	152147	118807
200600836	2006	836	2945	137956138	30638226	817019	-1030911	2198130	144009435	5755536	116564560	1947012	165540	3943698	126465	146829
200600837	2006	837	650	28915658	6061449	170087	-167257	684890	29953091	979297	23751692	406932	34195	738952	25667	29949
200600838	2006	838	120	4978563	1049013	121937	-45350	19949	5154576	174131	4204591	71000	4711	137615	4965	8077
200600840	2006	840	50	2277237	489026	6374	-14165	2110	2315917	38680	1617788	30382	2012	28816	1753	0
200600841	2006	841	115	4349276	858759	19595	-18912	7677	4509914	160640	4043709	57319	8197	143866	3641	10654
200600845	2006	845	255	10986641	2223428	79361	-93774	67619	11496953	510311	9435961	155486	14158	315253	23702	31870
200600847	2006	847	105	3950474	777681	39427	48969	61114	4223273	272799	3329802	52524	6053	142100	4361	3614
200600850	2006	850	2395	106578906	22661652	597461	-683627	701980	110556933	3789434	97123111	1339270	123762	2878633	111716	256219
200600852	2006	852	815	30241662	5417317	194732	-237790	523188	31335204	1084353	26504345	419682	36330	829296	52361	97428
200600854	2006	854	175	7494789	1463517	53163	-107677	8085	7732729	237940	6375716	109929	8831	193698	8260	14702
200600860	2006	860	720	31099604	6109802	178139	-371857	281632	32543146	1443544	28308329	445392	42193	1252680	53403	60120
200600862	2006	862	140	4842221	794466	47010	-66115	3077	5070675	180214	4355065	67385	1664	152701	4804	11384
200600870	2006	870	10045	447591487	98273439	3325012	-5202604	6002487	466868915	19105330	408049435	6298418	505239	13143275	1060548	911854
200600880	2006	880	890	58792430	15610819	441094	-1280215	1491318	60582742	1776492	55046575	855752	119497	846386	98737	81253
200600885	2006	885	515	34917598	9576048	142399	-902660	390910	35824289	871269	35021404	502436	65155	556081	51497	38385
200600886	2006	886	690	38854584	9433467	365477	-788455	318599	40150478	1263715	37642125	572653	61127	847325	53838	133461
200602000	2006	2000	16800	788302946	237754901	22109045	-7615102	56633153	844838119	55628370	524717455	9294948	388564	16461837	6105342	1081242
200602006	2006	2006	185	8687848	2266604	213364	-207854	150364	9218797	530940	8069446	117241	6562	328252	48575	28895
200602007	2006	2007	2745	115063224	27131416	2067179	-2353088	1791454	121652939	6549178	106330676	1490763	97409	4460377	527278	435945
200602008	2006	2008	3230	145522482	36157120	1949487	-1858000	1351840	153885168	8230544	132411129	1994728	174613	4976891	607351	643638
200602009	2006	2009	6455	400073669	117403161	7306244	-8874022	15636577	423826351	23403859	337504719	5437075	352628	12203322	1498601	1163423
200602010	2006	2010	14090	820837559	233332392	11867230	-12882608	16808470	870892893	49598170	708404546	11389173	895106	27997847	2465868	2904269
200602011	2006	2011	10735	814237184	259021834	22135530	-7314772	47193211	868235447	53455795	581939115	11148349	663158	21635059	5196463	1854845
200602015	2006	2015	4985	277374540	73779134	2402736	-5508190	3865507	293181153	15640694	254806143	3951989	295485	11403856	737632	982941
200602016	2006	2016	5625	289392420	75691720	4318240	-5474555	5021043	305604132	16135444	260347353	4056713	326926	10820371	992157	941142
200602017	2006	2017	4630	225267081	55996290	2829945	-4740258	2507212	239369626	14028898	216862486	3030769	229107	10979033	619446	803367
200602018	2006	2018	5945	253761918	58097593	4633044	-5100365	4271593	266851261	13111659	228085269	3468369	193038	9537678	895489	610864
200602019	2006	2019	4335	208440624	50481325	3024836	-4324734	2950572	219140033	10663389	188801785	2896232	148912	7520458	574892	247871
200602020	2006	2020	4955	211279368	47537455	3398828	-3404539	2654115	226041732	14709863	197414019	2908782	140723	8118975	779060	363320
200602021	2006	2021	8780	793038829	270703614	17007587	-9441245	39568431	855882753	62348839	557109303	11203446	503375	18913859	4174910	1767741
200602022	2006	2022	6305	427719725	130556746	14336776	-2140688	20030396	458083117	30015188	302262922	5884722	258449	10354613	2400813	673138
200602023	2006	2023	5495	679659882	254021807	27384731	4240929	81120354	748033395	67903238	315853434	9791481	204859	10668409	9006966	628589
200602024	2006	2024	5970	447070840	140930777	14925328	-4616410	25532853	482617253	35204166	318352402	6273370	297282	11739688	3234015	749661
200602025	2006	2025	4380	460818809	162373108	20396344	-372504	33502558	506262405	44146572	243203593	6614681	172176	7955040	6396136	602833
200602026	2006	2026	17570	1054890082	306857950	23043566	-9254649	34652373	1120034028	64857254	831448146	14681235	963245	34582541	4426069	2496459
200602027	2006	2027	4920	719708629	275555962	39983043	7022942	109539077	818664625	96579036	267931963	10334680	174590	7357834	27368159	659965
200602028	2006	2028	2965	332074030	117964839	16621824	2734342	32278656	362183465	29748581	158283252	4621880	94420	5341850	3146205	450577
200602029	2006	2029	5480	539955653	189185382	23803429	-484607	77819588	594115321	50711029	283385372	7761957	193925	9375113	5466651	601681
200602030	2006	2030	7860	968952293	361527350	40088336	3425738	121498247	1090604192	120624648	424262578	13830456	174345	12555148	21767324	468703
200602031	2006	2031	18280	1165174125	342323107	27842946	-10519173	36633434	1230236759	64413208	892791813	16499603	870518	32975447	5828901	2816925
200602032	2006	2032	6675	317873621	80468779	10182191	-2462640	8848109	333771495	15842371	252836735	4387554	187338	9325369	940878	655973
200602033	2006	2033	5095	292449533	82267388	10033694	-2090365	13221927	311583332	18995797	217251551	4081222	166429	8332194	997119	800854
200602034	2006	2034	11470	717861078	208423032	18869982	-6840625	35376255	762111028	43820288	546075050	9832017	562842	22369767	2497424	1921238
200602035	2006	2035	15075	782148652	202998191	24382447	-7707693	25453396	828049834	45334233	614222739	10817698	483477	24429678	2545019	1519076
200602036	2006	2036	11560	528710099	124415466	10962756	-9735094	11472541	555909337	27569844	457024075	7276049	324359	18099156	1525735	715281
200602037	2006	2037	6895	417843063	120725338	7536415	-5045445	9916016	445488245	27209702	332430197	5927818	383144	11098963	2348467	1291919
200602038	2006	2038	4765	322565352	95418937	5497182	-4420518	7212864	340005890	17337910	262704420	4661987	263918	9423747	1284721	890644
200602039	2006	2039	4550	328759987	99601105	5705042	-7163610	8200981	348015845	18949886	277469244	4686459	284077	10471855	1042820	742215
200602040	2006	2040	10180	618848063	173212931	9609712	-11925158	13589785	650191403	31209451	537613284	8889480	502898	19563906	1601746	1601855
200602041	2006	2041	8895	810584095	273127491	15498299	-10563832	45283415	864699610	53404056	581116511	11640589	533219	18421452	3464592	1361469
200602042	2006	2042	9620	504405062	132108752	6494125	-6089999	9836250	528185573	23549679	448647502	7167868	586048	15333513	1609502	1972013
200602043	2006	2043	3595	202641918	54252031	1897614	-3337435	2322889	212844995	10161209	190003828	2917430	235648	7231377	591599	959230
200602044	2006	2044	3520	162311832	37819209	2125971	-3349364	3538111	169855652	7471361	148679560	2282304	161799	5567512	466532	375265
200602045	2006	2045	3250	207513297	60704822	6680302	-1346380	4551097	218734969	11177809	148556574	2982855	81887	5014314	705666	204083
200602046	2006	2046	12680	760584250	211045550	19202472	-11573474	17640960	802584090	41464176	618877274	10814637	438878	23916102	2550607	1433787
200602047	2006	2047	6055	450377074	138547799	14990731	-5226333	19140238	480690972	30098051	320375108	6459164	237064	11606602	1822024	799167
200602048	2006	2048	4090	225578394	60246629	3273268	-3120875	2972540	237118909	11395454	197251816	3229702	208234	6998710	614050	840402
200602049	2006	2049	5205	278077710	73282136	3867521	-4258807	2473455	292248598	14050714	247975934	3970586	264983	8682424	951556	920679
200602050	2006	2050	3200	188321096	52410725	2337724	-3390932	3138096	197543560	9170535	171822692	2684063	212386	6441257	508489	868405
200602060	2006	2060	7975	644751121	207598969	18805230	-7618861	45741822	695358633	49254304	444350860	8923000	397190	15082763	3362100	1475091
200602061	2006	2061	3355	320694715	110035749	11658926	-2583733	30868811	354054048	33251175	200647818	4242098	191766	5913554	4134490	556776
200602062	2006	2062	3890	317116589	101304556	8048472	-3670689	13004778	337804178	20583964	236017978	4539719	138217	7132802	1699475	547539
200602063	2006	2063	3390	386742665	139822549	16068421	354813	21478311	420505587	33306948	217236831	5516275	78901	5072102	3009160	263763
200602064	2006	2064	5360	350729520	103130746	9978359	-3085486	11099863	371373326	20495331	273578628	4941029	175384	8470782	1498139	1016392
200602065	2006	2065	15575	1173094010	364460322	33538019	-13563239	57567067	1271125317	97635850	886614467	16486876	601396	27915931	25039876	2985104
200602066	2006	2066	14515	1160014413	371384379	35311925	-12711523	74502646	1239204350	78322280	792240633	16599242	427401	23207409	6312608	1599059
200602067	2006	2067	11540	705178178	201692676	25672407	-7577695	26006620	745962346	40663243	525571971	9528296	327297	15923636	3174708	1354534
200602068	2006	2068	8330	742518375	251046422	22460427	-7108719	48607509	792070761	48804960	474299479	10631486	215228	12940875	3020974	674085
200602069	2006	2069	7055	698559566	242984194	24879374	-3469610	41950790	754635799	55090744	392151338	10043965	166415	10111106	4402605	590724
200602070	2006	2070	6650	606371612	205699567	24744475	-5383969	32688546	652201152	45527524	356076457	8617909	121136	9162668	3449967	641195
200602071	2006	2071	6410	646389063	226280953	30335901	-2873019	44110530	702668193	55860180	320595373	9134865	129121	7981860	4718713	384641
